i;i<=25;console.log(i);i++;;
1;true;1;2;;
2;true;2;3;;
3;true;3;4;;
4;true;4;5;;
5;true;5;6;;
;;;;;
i;i>=1;console.log(i);i--;;
25;true;25;24;;
24;true;24;23;;
23;true;23;22;;
22;true;22;21;;
21;true;21;20;;
;;;;;
i;i>=-25;console.log(i);i--;;
-1;true;-1;-2;;
-2;true;-2;-3;;
-3;true;-3;-4;;
-4;true;-4;-5;;
-5;true;-5;-6;;
;;;;;
i;i<=-1;console.log(i);i++;;
-25;true;-25;-24;;
-24;true;-24;-23;;
-23;true;-23;-22;;
-22;true;-22;-21;;
-21;true;-21;-20;;
;;;;;
i;i>=-25;i % 2 != 0;console.log(i);i--;
25;true;true;25;24;
24;false;-;-;23;
23;true;true;23;22;
22;false;-;-;21;
21;true;true;21;20;
;;;;;
